Slot,ItemID,Name,Dungeon,Type,Link,Stat
Back,221154,Swarmcaller's Shroud,"Ara-Kara, City of Echoes",Accessory,https://www.wowhead.com/item=221154/swarmcallers-shroud,
Back,221088,Anvilhide Cape,The Stonevault,Accessory,https://www.wowhead.com/item=221088/anvilhide-cape,
Back,56126,Azureborne Cloak,Grim Batol,Accessory,https://www.wowhead.com/item=56126/azureborne-cloak,
Back,56219,Shroud of Dark Memories,Grim Batol,Accessory,https://www.wowhead.com/item=56219/shroud-of-dark-memories,
Back,133363,Troggstitched Drape,Grim Batol,Accessory,https://www.wowhead.com/item=133363/troggstitched-drape,
Finger,221189,Experiment 08752's Band,City of Threads,Accessory,https://www.wowhead.com/item=221189/experiment-08752s-band,
Finger,221136,Devout Zealot's Ring,The Dawnbreaker,Accessory,https://www.wowhead.com/item=221136/devout-zealots-ring,
Finger,221141,High Nerubian Signet,The Dawnbreaker,Accessory,https://www.wowhead.com/item=221141/high-nerubian-signet,
Finger,178781,Ritual Commander's Ring,The Necrotic Wake,Accessory,https://www.wowhead.com/item=178781/ritual-commanders-ring,
Finger,178736,Stitchflesh's Misplaced Signet,The Necrotic Wake,Accessory,https://www.wowhead.com/item=178736/stitchfleshs-misplaced-signet,
Finger,159461,Band of the Ancient Dredger,Siege of Boralus,Accessory,https://www.wowhead.com/item=159461/band-of-the-ancient-dredger,
Finger,162541,Band of the Roving Scalawag,Siege of Boralus,Accessory,https://www.wowhead.com/item=162541/band-of-the-roving-scalawag,
Finger,56457,Circle of Bone,Grim Batol,Accessory,https://www.wowhead.com/item=56457/circle-of-bone,
Finger,56445,Ring of Dun Algaz,Grim Batol,Accessory,https://www.wowhead.com/item=56445/ring-of-dun-algaz,
Finger,56114,Umbriss Band,Grim Batol,Accessory,https://www.wowhead.com/item=56114/umbriss-band,
Neck,221181,Elder's Hemolymphal Periapt,City of Threads,Accessory,https://www.wowhead.com/item=221181/elders-hemolymphal-periapt,
Neck,221077,"""Emergency Stop"" Keychain",The Stonevault,Accessory,https://www.wowhead.com/item=221077/emergency-stop-keychain,
Neck,178707,Trailspinner Pendant,Mists of Tirna Scithe,Accessory,https://www.wowhead.com/item=178707/trailspinner-pendant,
Head,221187,Intertwiner's Shadowcowl,City of Threads,Cloth,https://www.wowhead.com/item=221187/intertwiners-shadowcowl,
Head,178693,Cocoonsilk Cowl,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178693/cocoonsilk-cowl,
Head,178732,Abominable Visage,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178732/abominable-visage,
Head,133302,Crown of Enfeebled Bodies,Grim Batol,Cloth,https://www.wowhead.com/item=133302/crown-of-enfeebled-bodies,
Shoulders,221135,Fanatic's Blackened Shoulderwraps,The Dawnbreaker,Cloth,https://www.wowhead.com/item=221135/fanatics-blackened-shoulderwraps,
Shoulders,178696,Ingra Maloch's Mantle,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178696/ingra-malochs-mantle,
Shoulders,178740,Reanimator's Mantle,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178740/reanimators-mantle,
Chest,221176,Arachnofrost Vest,City of Threads,Cloth,https://www.wowhead.com/item=221176/arachnofrost-vest,
Chest,221095,Shadowed Orator's Tunic,The Stonevault,Cloth,https://www.wowhead.com/item=221095/shadowed-orators-tunic,
Wrist,221182,Vitriolic Veinwoven Wraps,City of Threads,Cloth,https://www.wowhead.com/item=221182/vitriolic-veinwoven-wraps,
Wrist,178704,Deathshackle Wristwraps,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178704/deathshackle-wristwraps,
Wrist,178782,Necropolis Lord's Shackles,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178782/necropolis-lords-shackles,
Wrist,56125,Crimsonborne Bracers,Grim Batol,Cloth,https://www.wowhead.com/item=56125/crimsonborne-bracers,
Hands,221170,Subduer's Terrorgrips,City of Threads,Cloth,https://www.wowhead.com/item=221170/subduers-terrorgrips,
Hands,178705,Tricksprite Gloves,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178705/tricksprite-gloves,
Hands,178748,Gory Surgeon's Gloves,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178748/gory-surgeons-gloves,
Hands,159237,Captain's Dustfinders,Siege of Boralus,Cloth,https://www.wowhead.com/item=159237/captains-dustfinders,
Waist,221158,Burrower's Cinch,"Ara-Kara, City of Echoes",Cloth,https://www.wowhead.com/item=221158/burrowers-cinch,
Waist,221087,Dorlita's Safety Belt,The Stonevault,Cloth,https://www.wowhead.com/item=221087/dorlitas-safety-belt,
Waist,159965,Redhook's Cummerbund,Siege of Boralus,Cloth,https://www.wowhead.com/item=159965/redhooks-cummerbund,
Legs,221164,Archaic Venomancer's Footwraps,"Ara-Kara, City of Echoes",Cloth,https://www.wowhead.com/item=221164/archaic-venomancers-footwraps,
Legs,221164,Archaic Venomancer's Footwraps,The Stonevault,Cloth,https://www.wowhead.com/item=221164/archaic-venomancers-footwraps,
Legs,159250,Powder Monkey's Leggings,Siege of Boralus,Cloth,https://www.wowhead.com/item=159250/powder-monkeys-leggings,
Legs,56218,Curse-Tainted Leggings,Grim Batol,Cloth,https://www.wowhead.com/item=56218/curse-tainted-leggings,
Feet,221149,Membranous Slippers,The Dawnbreaker,Cloth,https://www.wowhead.com/item=221149/membranous-slippers,
Feet,221082,Tainted Earthshard Walkers,The Stonevault,Cloth,https://www.wowhead.com/item=221082/tainted-earthshard-walkers,
Feet,159251,Top-Sail Footwraps,Siege of Boralus,Cloth,https://www.wowhead.com/item=159251/top-sail-footwraps,
Head,221163,Whispering Mask,"Ara-Kara, City of Echoes",Leather,https://www.wowhead.com/item=221163/whispering-mask,
Head,221081,Guise of the Construct,The Stonevault,Leather,https://www.wowhead.com/item=221081/guise-of-the-construct,
Head,178691,Hood of the Hidden Path,Mists of Tirna Scithe,Leather,https://www.wowhead.com/item=178691/hood-of-the-hidden-path,
Shoulders,221175,Shadowchill Amice,City of Threads,Leather,https://www.wowhead.com/item=221175/shadowchill-amice,
Shoulders,221148,Epaulets of the Clipped Wings,The Dawnbreaker,Leather,https://www.wowhead.com/item=221148/epaulets-of-the-clipped-wings,
Shoulders,221094,Whispering Umbral Mantle,The Stonevault,Leather,https://www.wowhead.com/item=221094/whispering-umbral-mantle,
Shoulders,178779,Undying Chill Shoulderpads,The Necrotic Wakel,Leather,https://www.wowhead.com/item=178779/undying-chill-shoulderpads,
Chest,221188,Viscera-Lathered Coat,City of Threads,Leather,https://www.wowhead.com/item=221188/viscera-lathered-coat,
Chest,178698,Rainshadow Hauberk,Mists of Tirna Scithe,Leather,https://www.wowhead.com/item=178698/rainshadow-hauberk,
Chest,178744,Freshly Embalmed Jerkin,The Necrotic Wake,Leather,https://www.wowhead.com/item=178744/freshly-embalmed-jerkin,
Chest,56113,Cursed Skardyn Vest,Grim Batol,Leather,https://www.wowhead.com/item=56113/cursed-skardyn-vest,
Chest,56455,Vest of Misshapen Hides,Grim Batol,Leather,https://www.wowhead.com/item=56455/vest-of-misshapen-hides,
Wrist,221157,Unbreakable Beetlebane Bindings,"Ara-Kara, City of Echoes",Leather,https://www.wowhead.com/item=221157/unbreakable-beetlebane-bindings,
Wrist,221142,Scheming Assailer's Bands,The Dawnbreaker,Leather,https://www.wowhead.com/item=221142/scheming-assailers-bands,
Wrist,178702,Bands of the Undergrowth,Mists of Tirna Scithe,Leather,https://www.wowhead.com/item=178702/bands-of-the-undergrowth,
Wrist,178741,Risen Monstrosity Cuffs,The Necrotic Wake,Leather,https://www.wowhead.com/item=178741/risen-monstrosity-cuffs,
Wrist,159372,Dread Captain's Irons,Siege of Boralus,Leather,https://www.wowhead.com/item=159372/dread-captains-irons,
Hands,221180,Gorebound Stranglers,City of Threads,Leather,https://www.wowhead.com/item=221180/gorebound-stranglers,
Hands,159968,Gloves of the Iron Reavers,Siege of Boralus,Leather,https://www.wowhead.com/item=159968/gloves-of-the-iron-reavers,
Waist,221134,Shadow Congregant's Belt,The Dawnbreaker,Leather,https://www.wowhead.com/item=221134/shadow-congregants-belt,
Waist,178699,Sapgorger Belt,Mists of Tirna Scithe,Leather,https://www.wowhead.com/item=178699/sapgorger-belt,
Waist,159309,Port Pillager's Belt,Siege of Boralus,Leather,https://www.wowhead.com/item=159309/port-pillagers-belt,
Waist,133353,Troggbone Cinch,Grim Batol,Leather,https://www.wowhead.com/item=133353/troggbone-cinch,
Legs,221153,Gauzewoven Legguards,"Ara-Kara, City of Echoes",Leather,https://www.wowhead.com/item=221153/gauzewoven-legguards,
Legs,159322,Seawalker's Pantaloons,Siege of Boralus,Leather,https://www.wowhead.com/item=159322/seawalkers-pantaloons,
Legs,133354,Glimmerthread Pantaloons,Grim Batol,Leather,https://www.wowhead.com/item=133354/glimmerthread-pantaloons,
Feet,221169,Whisperer's Echoing Steps,City of Threads,Leather,https://www.wowhead.com/item=221169/whisperers-echoing-steps,
Feet,178731,Viscera-Stitched Footpads,The Necrotic Wake,Leather,https://www.wowhead.com/item=178731/viscera-stitched-footpads,
Feet,159320,Besieger's Deckstalkers,Siege of Boralus,Leather,https://www.wowhead.com/item=159320/besiegers-deckstalkers,
Head,221156,Cryptbound Headpiece,"Ara-Kara, City of Echoes",Mail,https://www.wowhead.com/item=221156/cryptbound-headpiece,
Head,178692,Soulthorn Visage,Mists of Tirna Scithe,Mail,https://www.wowhead.com/item=178692/soulthorn-visage,
Head,178738,Rattling Deadeye Hood,The Necrotic Wake,Mail,https://www.wowhead.com/item=178738/rattling-deadeye-hood,
Head,56112,Wildhammer Riding Helm,Grim Batol,Mail,https://www.wowhead.com/item=56112/wildhammer-riding-helm,
Shoulders,221140,Shadowblight Mantle,The Dawnbreaker,Mail,https://www.wowhead.com/item=221140/shadowblight-mantle,
Shoulders,178695,Wintersnap Shoulderguards,Mists of Tirna Scithe,Mail,https://www.wowhead.com/item=178695/wintersnap-shoulderguards,
Shoulders,178733,Blightbone Spaulders,The Necrotic Wake,Mail,https://www.wowhead.com/item=178733/blightbone-spaulders,
Shoulders,157598,Courier's Dragonriding Spaulders,Grim Batol,Mail,https://www.wowhead.com/item=157598/couriers-dragonriding-spaulders,
Chest,221179,Coagulum Cuirass,City of Threads,Mail,https://www.wowhead.com/item=221179/coagulum-cuirass,
Chest,221147,Goliath's Chitinous Chainmail,The Stonevault,Mail,https://www.wowhead.com/item=221147/goliaths-chitinous-chainmail,
Wrist,221174,Penumbral Rimeguards,City of Threads,Mail,https://www.wowhead.com/item=221174/penumbral-rimeguards,
Wrist,178703,Hiveswarm Bracers,Mists of Tirna Scithe,Mail,https://www.wowhead.com/item=178703/hiveswarm-bracers,
Wrist,159372,Dread Captain's Irons,Siege of Boralus,Mail,https://www.wowhead.com/item=159372/dread-captains-irons,
Hands,221162,Claws of Tainted Ichor,"Ara-Kara, City of Echoes",Mail,https://www.wowhead.com/item=221162/claws-of-tainted-ichor,
Hands,221080,Corpseleecher Grips,The Stonevault,Mail,https://www.wowhead.com/item=221080/corpseleecher-grips,
Waist,221168,Cinch of Lingering Influence,City of Threads,Mail,https://www.wowhead.com/item=221168/cinch-of-lingering-influence,
Waist,221075,Reinforced Anti-Intruder Chainmail,The Stonevault,Mail,https://www.wowhead.com/item=221075/reinforced-anti-intruder-chainmail,
Waist,178700,Clasp of Waning Shadow,Mists of Tirna Scithe,Mail,https://www.wowhead.com/item=178700/clasp-of-waning-shadow,
Waist,159386,Anchor Chain Girdle,Siege of Boralus,Mail,https://www.wowhead.com/item=159386/anchor-chain-girdle,
Legs,221186,Entwined Chimeric Legguards,City of Threads,Mail,https://www.wowhead.com/item=221186/entwined-chimeric-legguards,
Legs,178778,Lichbone Legguards,The Necrotic Wake,Mail,https://www.wowhead.com/item=178778/lichbone-legguards,
Legs,159969,Powdershot Leggings,Siege of Boralus,Mail,https://www.wowhead.com/item=159969/powdershot-leggings,
Feet,221152,Silksteel Striders,"Ara-Kara, City of Echoes",Mail,https://www.wowhead.com/item=221152/silksteel-striders,
Feet,221202,Defiance Crusher's Sabatons,The Dawnbreaker,Mail,https://www.wowhead.com/item=221202/defiance-crushers-sabatons,
Feet,178745,Striders of Restless Malice,The Necrotic Wake,Mail,https://www.wowhead.com/item=178745/striders-of-restless-malice,
Feet,159379,Sure-Foot Sabatons,Siege of Boralus,Mail,https://www.wowhead.com/item=159379/sure-foot-sabatons,
Feet,56448,Dark Iron Chain Boots,Grim Batol,Mail,https://www.wowhead.com/item=56448/dark-iron-chain-boots,
Feet,56123,Red Scale Boots,Grim Batol,Mail,https://www.wowhead.com/item=56123/red-scale-boots,
Head,221146,Soaring Behemoth's Greathelm,The Dawnbreaker,Plate,https://www.wowhead.com/item=221146/soaring-behemoths-greathelm,
Head,178694,Wrathbark Greathelm,Mists of Tirna Scithe,Plate,https://www.wowhead.com/item=178694/wrathbark-greathelm,
Head,178777,Darkfrost Helmet,The Necrotic Wake,Plate,https://www.wowhead.com/item=178777/darkfrost-helmet,
Shoulders,221155,Swarm Monarch's Spaulders,"Ara-Kara, City of Echoes",Plate,https://www.wowhead.com/item=221155/swarm-monarchs-spaulders,
Shoulders,221185,Flesh Connector's Epaulets,City of Threads,Plate,https://www.wowhead.com/item=221185/flesh-connectors-epaulets,
Shoulders,178697,Prankster's Pauldrons,Mists of Tirna Scithe,Plate,https://www.wowhead.com/item=178697/pranksters-pauldrons,
Shoulders,178749,Vile Butcher's Pauldrons,The Necrotic Wake,Plate,https://www.wowhead.com/item=178749/vile-butchers-pauldrons,
Shoulders,133294,Earthshape Pauldrons,Grim Batol,Plate,https://www.wowhead.com/item=133294/earthshape-pauldrons,
Chest,221161,Experimental Goresilk Chestguard,"Ara-Kara, City of Echoes",Plate,https://www.wowhead.com/item=221161/experimental-goresilk-chestguard,
Chest,221139,Dark Priest's Carapace,The Dawnbreaker,Plate,https://www.wowhead.com/item=221139/dark-priests-carapace,
Wrist,221167,Vociferous Subjugator's Bracers,City of Threads,Plate,https://www.wowhead.com/item=221167/vociferous-subjugators-bracers,
Wrist,133306,Bracers of Umbral Mending,Grim Batol,Plate,https://www.wowhead.com/item=133306/bracers-of-umbral-mending,
Hands,221151,Devourer's Gauntlets,"Ara-Kara, City of Echoes",Plate,https://www.wowhead.com/item=221151/devourers-gauntlets,
Hands,221086,Machinist's Searing Handguards,The Stonevault,Plate,https://www.wowhead.com/item=221086/machinists-searing-handguards,
Hands,178706,Fogweaver Gauntlets,Mists of Tirna Scithe,Plate,https://www.wowhead.com/item=178706/fogweaver-gauntlets,
Hands,159429,Rope-Scored Gauntlets,Siege of Boralus,Plate,https://www.wowhead.com/item=159429/rope-scored-gauntlets,
Waist,221133,Girdle of Somber Ploys,The Dawnbreaker,Plate,https://www.wowhead.com/item=221133/girdle-of-somber-ploys,
Waist,221079,Crystal-Fissure Girdle,The Stonevault,Plate,https://www.wowhead.com/item=221079/crystal-fissure-girdle,
Waist,178734,Fused Bone Greatbelt,The Necrotic Wake,Plate,https://www.wowhead.com/item=178734/fused-bone-greatbelt,
Waist,159434,Cannoneer's Toolbelt,Siege of Boralus,Plate,https://www.wowhead.com/item=159434/cannoneers-toolbelt,
Waist,56118,Belt of the Forgemaster,Grim Batol,Plate,https://www.wowhead.com/item=56118/belt-of-the-forgemaster,
Legs,221173,Legplates of Duality,City of Threads,Plate,https://www.wowhead.com/item=221173/legplates-of-duality,
Legs,221092,Legplates of Broken Trust,The Stonevault,Plate,https://www.wowhead.com/item=221092/legplates-of-broken-trust,
Legs,178701,Gormshell Greaves,Mists of Tirna Scithe,Plate,https://www.wowhead.com/item=178701/gormshell-greaves,
Legs,178739,Legplates of Unholy Frenzy,The Necrotic Wake,Plate,https://www.wowhead.com/item=178739/legplates-of-unholy-frenzy,
Legs,159427,Legplates of the Irontide Raider,Siege of Boralus,Plate,https://www.wowhead.com/item=159427/legplates-of-the-irontide-raider,
Feet,221178,Ichor-Stained Sollerets,City of Threads,Plate,https://www.wowhead.com/item=221178/ichor-stained-sollerets,
Feet,159428,Ballast Sinkers,Siege of Boralus,Plate,https://www.wowhead.com/item=159428/ballast-sinkers,
Trinket,219314,Ara-Kara Sacbrood,"Ara-Kara, City of Echoes",Trinket,https://www.wowhead.com/item=219314/ara-kara-sacbrood,Agility/Strength
Trinket,219316,Ceaseless Swarmgland,"Ara-Kara, City of Echoes",Trinket,https://www.wowhead.com/item=219316/ceaseless-swarmgland,Agility/Intellect
Trinket,219317,Harvester's Edict,"Ara-Kara, City of Echoes",Trinket,https://www.wowhead.com/item=219317/harvesters-edict,Haste
Trinket,219321,Cirral Concoctory,City of Threads,Trinket,https://www.wowhead.com/item=219321/cirral-concoctory,Intellect
Trinket,219318,Oppressive Orator's Larynx,City of Threads,Trinket,https://www.wowhead.com/item=219318/oppressive-orators-larynx,N/A
Trinket,219319,Twin Fang Instruments,City of Threads,Trinket,https://www.wowhead.com/item=219319/twin-fang-instruments,Agility
Trinket,219320,Viscous Coaglam,City of Threads,Trinket,https://www.wowhead.com/item=219320/viscous-coaglam,Intellect (Healing)
Trinket,219312,Empowering Crystal of Anub'ikkaj,The Dawnbreaker,Trinket,https://www.wowhead.com/item=219312/empowering-crystal-of-anubikkaj,Agility/Intellect
Trinket,219313,Mereldar's Toll,The Dawnbreaker,Trinket,https://www.wowhead.com/item=219313/mereldars-toll,Intellect
Trinket,219311,Void Pactstone,The Dawnbreaker,Trinket,https://www.wowhead.com/item=219311/void-pactstone,Strength
Trinket,219303,High Speaker's Accretion,The Stonevault,Trinket,https://www.wowhead.com/item=219303/high-speakers-accretion,Mastery
Trinket,219301,Overclocked Gear-a-Rang Launcher,The Stonevault,Trinket,https://www.wowhead.com/item=219301/overclocked-gear-a-rang-launcher,N/A
Trinket,219315,Refracting Aggression Module,The Stonevault,Trinket,https://www.wowhead.com/item=219315/refracting-aggression-module,Agility or Strength (Tanks)
Trinket,219302,Scrapsinger's Symphony,The Stonevault,Trinket,https://www.wowhead.com/item=219302/scrapsingers-symphony,Intellect (Healing)
Trinket,219300,Skarmorak Shard,The Stonevault,Trinket,https://www.wowhead.com/item=219300/skarmorak-shard,Strength
Trinket,178715,Mistcaller Ocarina,Mists of Tirna Scithe,Trinket,https://www.wowhead.com/item=178715/mistcaller-ocarina,Agility
Trinket,178708,Unbound Changeling,Mists of Tirna Scithe,Trinket,https://www.wowhead.com/item=178708/unbound-changeling,Intellect
Trinket,178742,Bottled Flayedwing Toxin,The Necrotic Wake,Trinket,https://www.wowhead.com/item=178742/bottled-flayedwing-toxin,Agility
Trinket,178772,Satchel of Misbegotten Minions,The Necrotic Wake,Trinket,https://www.wowhead.com/item=178772/satchel-of-misbegotten-minions,Intellect
Trinket,178783,Siphoning Phylactery Shard,The Necrotic Wake,Trinket,https://www.wowhead.com/item=178783/siphoning-phylactery-shard,Intellect (Healing)
Trinket,178751,Spare Meat Hook,The Necrotic Wake,Trinket,https://www.wowhead.com/item=178751/spare-meat-hook,Strength
Trinket,159623,Dead-Eye Spyglass,Siege of Boralus,Trinket,https://www.wowhead.com/item=159623/dead-eye-spyglass,Agility
Trinket,159622,Hadal's Nautilus,Siege of Boralus,Trinket,https://www.wowhead.com/item=159622/hadals-nautilus,Intellect
Trinket,56463,Corrupted Egg Shell,Grim Batol,Trinket,https://www.wowhead.com/item=56463/corrupted-egg-shell,N/A (Mana Regeneration)
Trinket,56462,Gale of Shadows,Grim Batol,Trinket,https://www.wowhead.com/item=56462/gale-of-shadows,Haste
Trinket,56458,Mark of Khardros,Grim Batol,Trinket,https://www.wowhead.com/item=56458/mark-of-khardros,Strength
Trinket,56440,Skardyn's Grace,Grim Batol,Trinket,https://www.wowhead.com/item=56440/skardyns-grace,Agility
Trinket,56449,Throngus's Finger,Grim Batol,Trinket,https://www.wowhead.com/item=56449/thronguss-finger,Versatility
Axe,178711,Axe of the Deadgrove,Mists of Tirna Scithe,1H Weapon,https://www.wowhead.com/item=178711/axe-of-the-deadgrove,Strength
Dagger,221183,Splice 'n Dice,City of Threads,1H Weapon,https://www.wowhead.com/item=221183/splice-n-dice,Agility
Dagger,221138,Parson's Ornamented Blade,The Dawnbreaker,1H Weapon,https://www.wowhead.com/item=221138/parsons-ornamented-blade,Agility
Dagger,178710,Tanglewood Thorn,Mists of Tirna Scithe,1H Weapon,https://www.wowhead.com/item=178710/tanglewood-thorn,Agility
Dagger,178743,Stitchflesh's Scalpel,The Necrotic Wake,1H Weapon,https://www.wowhead.com/item=178743/stitchfleshs-scalpel,Agility
Dagger,56454,Windwalker Blade,Grim Batol,1H Weapon,https://www.wowhead.com/item=56454/windwalker-blade,Agility
Dagger,221165,Unceremonious Bloodletter,"Ara-Kara, City of Echoes",1H Weapon,https://www.wowhead.com/item=221165/unceremonious-bloodletter,Intellect
Dagger,221171,Kingslayer's Frostfang,City of Threads,1H Weapon,https://www.wowhead.com/item=221171/kingslayers-frostfang,Intellect
Dagger,56441,Modgud's Blade,Grim Batol,1H Weapon,https://www.wowhead.com/item=56441/modguds-blade,Intellect
Fist Weapon,221090,Eirich's Fist of Deception,The Stonevault,1H Weapon,https://www.wowhead.com/item=221090/eirichs-fist-of-deception,Agility
Mace,159973,Boarder's Billy Club,Siege of Boralus,1H Weapon,https://www.wowhead.com/item=159973/boarders-billy-club,Agility
Mace,221145,Shipwrecker's Bludgeon,The Dawnbreaker,1H Weapon,https://www.wowhead.com/item=221145/shipwreckers-bludgeon,Strength
Mace,178730,Engorged Worm Smasher,The Necrotic Wake,1H Weapon,https://www.wowhead.com/item=178730/engorged-worm-smasher,Strength
Mace,56459,Mace of Transformed Bone,Grim Batol,1H Weapon,https://www.wowhead.com/item=56459/mace-of-transformed-bone,Strength
Mace,178709,Scithewood Scepter,Mists of Tirna Scithe,1H Weapon,https://www.wowhead.com/item=178709/scithewood-scepter,Intellect
Sword,221144,Zephyrous Sail Carver,The Dawnbreaker,1H Weapon,https://www.wowhead.com/item=221144/zephyrous-sail-carver,Agility
Sword,221091,Cutting-Edge Sermon,The Stonevault,1H Weapon,https://www.wowhead.com/item=221091/cutting-edge-sermon,Strength
Sword,159649,Saber of Dread Pirate Lockwood,Siege of Boralus,1H Weapon,https://www.wowhead.com/item=159649/saber-of-dread-pirate-lockwood,Strength
Sword,221150,Arachnoid Soulcleaver,"Ara-Kara, City of Echoes",1H Weapon,https://www.wowhead.com/item=221150/arachnoid-soulcleaver,Intellect
Sword,178737,Amarth's Spellblade,The Necrotic Wake,1H Weapon,https://www.wowhead.com/item=178737/amarths-spellblade,Intellect
Warglaives,221160,Blight Hunter's Scalpelglaive,"Ara-Kara, City of Echoes",1H Weapon,https://www.wowhead.com/item=221160/blight-hunters-scalpelglaive,Agility
Warglaives,221084,Skardyn Mercybringer,The Stonevault,1H Weapon,https://www.wowhead.com/item=221084/skardyn-mercybringer,Agility
Axe,178713,Drustlord's Greataxe,Mists of Tirna Scithe,2H Weapon,https://www.wowhead.com/item=178713/drustlords-greataxe,Strength
Mace,221083,Wardbreaker of the Fractured,The Stonebreaker,2H Weapon,https://www.wowhead.com/item=221083/wardbreaker-of-the-fractured,Strength
Mace,159650,Dismembered Submersible Claw,Siege of Boralus,2H Weapon,https://www.wowhead.com/item=159650/dismembered-submersible-claw,Strength
Mace,56131,Wild Hammer,Grim Batol,2H Weapon,https://www.wowhead.com/item=56131/wild-hammer,Strength
Polearm,221184,Surgical Heartstopper,City of Threads,2H Weapon,https://www.wowhead.com/item=221184/surgical-heartstopper,Agility
Polearm,221137,Black Shepherd's Guisarme,The Dawnbreaker,2H Weapon,https://www.wowhead.com/item=221137/black-shepherds-guisarme,Agility
Polearm,221078,Endoskeletal Polecrank,The Stonevault,2H Weapon,https://www.wowhead.com/item=221078/endoskeletal-polecrank,Agility
Polearm,159972,Mutineer's Fate,Siege of Boralus,2H Weapon,https://www.wowhead.com/item=159972/mutineers-fate,Agility
Sword,178780,Rimebinder's Runeblade,The Necrotic Wake,2H Weapon,https://www.wowhead.com/item=178780/rimebinders-runeblade,Strength
Staff,221159,Harvester's Interdiction,"Ara-Kara, City of Echoes",2H Weapon,https://www.wowhead.com/item=221159/harvesters-interdiction,Agility
Staff,221166,Krix'vizk's Speech Rod,City of Threads,2H Weapon,https://www.wowhead.com/item=221166/krixvizks-speech-rod,Intellect
Staff,221085,Melodious Iron Songspire,The Stonevault,2H Weapon,https://www.wowhead.com/item=221085/melodious-iron-songspire,Intellect
Staff,178714,Lakali's Spire of Knowledge,Mists of Tirna Scithe,2H Weapon,https://www.wowhead.com/item=178714/lakalis-spire-of-knowledge,Intellect
Staff,56137,Staff of Siphoned Essences,Grim Batol,2H Weapon,https://www.wowhead.com/item=56137/staff-of-siphoned-essences,Intellect
Crossbow,221143,Recurved Hull Impaler,The Dawnbreaker,2H Weapon,https://www.wowhead.com/item=221143/recurved-hull-impaler,Agility
Crossbow,221089,Silver-Tongued Boltcaster,The Stonevault,2H Weapon,https://www.wowhead.com/item=221089/silver-tongued-boltcaster,Agility
Gun,221074,Augmented Refractor Cannon,The Stonevault,2H Weapon,https://www.wowhead.com/item=221074/augmented-refractor-cannon,Agility
Gun,178735,Blight Belcher,The Necrotic Wake,2H Weapon,https://www.wowhead.com/item=178735/blight-belcher,Agility
Wand,56122,Wand of Untainted Power,Grim Batol,1H Weapon,https://www.wowhead.com/item=56122/wand-of-untainted-power,Intellect
Off-Hand,221172,Pail of Preserved Obscurity,City of Threads,Offhand,https://www.wowhead.com/item=221172/pail-of-preserved-obscurity,Intellect
Off-Hand,221132,Overflowing Umbral Pail,The Dawnbreaker,Offhand,https://www.wowhead.com/item=221132/overflowing-umbral-pail,Intellect
Shield,221177,Old-Blood Hielaman,City of Threads,Offhand,https://www.wowhead.com/item=221177/old-blood-hielaman,Strength/Intellect
Shield,221073,Earthen Nullification Aegis,The Stonevault,Offhand,https://www.wowhead.com/item=221073/earthen-nullification-aegis,Strength/Intellect
Shield,178712,Acidslough Bulwark,Mists of Tirna Scithe,Offhand,https://www.wowhead.com/item=178712/acidslough-bulwark,Strength/Intellect
Shield,178750,Encrusted Canopic Lid,The Necrotic Wake,Offhand,https://www.wowhead.com/item=178750/encrusted-canopic-lid,Strength/Intellect